Event#, Time(ms)
1,776
2,777
3,781
4,777
5,779
6,776
7,774
8,800
9,777
10,799
11,777
12,779
13,780
14,778
15,779
16,799
17,776
18,778
19,795
20,796
21,798
22,778
23,798
24,777
25,797
26,776
27,774
28,799
29,798
30,797
31,778
32,799
33,782
34,796
35,780
36,778
37,798
38,798
39,779
40,797
41,779
42,777
43,777
44,779
45,779
46,778
47,799
48,778
49,799
50,798
51,777
52,774
53,797
54,775
55,800
56,777
57,777
58,797
59,794
60,816
61,777
62,799
63,777
64,816
65,790
66,777
67,779
68,817
69,798
70,1318
71,841
72,2871
73,777
74,797
75,779
76,778
77,778
78,777
79,780
80,797
81,783
82,779
83,779
84,780
85,775
86,777
87,780
88,798
89,777
90,796
91,776
92,804
93,776
94,798
95,780
96,777
97,798
98,796
99,795
100,797
101,777
102,778
103,777
104,779
105,778
106,795
107,775
108,778
109,781
110,798
111,777
112,796
113,796
114,772
